rrul,TCP download BE,TCP upload sum,TCP upload BK,Ping (ms) UDP BE,Ping (ms) UDP BK,TCP upload BE,Ping (ms) avg,Ping (ms) ICMP,TCP download BK,TCP totals,TCP upload avg,TCP download EF,TCP download CS5,Ping (ms) UDP EF,TCP upload EF,TCP upload CS5,TCP download sum,TCP download avg
34.0,21.2422106899,,,,,,210.464130141,210.464130141,14.5193447534,74.5891022132,,15.4892192977,23.3383274722,,,,74.5891022132,18.6472755533
34.2,21.6203866083,0.0989694638513,0.0365306861963,,,0.0405656408692,210.953435387,210.953435387,14.7618169081,76.3499750245,0.0329898212838,15.7368166987,24.1319853456,,0.0218731367858,,76.2510055607,19.0627513902
34.4,22.1186747829,0.096824826531,0.0349617067824,,,0.0404289260914,208.345900067,208.345900067,14.9717586355,77.8980410976,0.032274942177,16.2917774683,24.4190053844,,0.0214341936572,,77.8012162711,19.4503040678
34.6,21.9249519984,0.0946801917674,0.0333927292389,,,0.0402922114766,212.795110407,212.795110407,15.3983923678,79.2109964136,0.0315600639225,16.7825000946,25.0104717611,,0.0209952510519,,79.1163162219,19.7790790555
34.8,21.5450642354,0.0925355544472,0.031823749825,,,0.0401554966989,218.231283589,218.231283589,15.1039678603,78.2511048036,0.0308451848157,16.6797854888,24.8297516646,,0.0205563079233,,78.1585692491,19.5396423123
35.0,21.6796795336,0.090390917127,0.0302547704112,,,0.0400187819211,223.66745677,223.66745677,14.7552211437,76.3927615839,0.030130305709,16.8998453965,22.9676245929,,0.0201173647947,,76.3023706668,19.0755926667
35.2,29.61,0.09,0.03,,,0.04,218.181441308,218.181441308,46.65,118.608362229,0.03,17.77,24.4883622292,,0.02,,118.518362229,29.6295905573
35.4,,,,,,,165.52375927,165.52375927,,78.57,,,78.57,,,,78.57,78.57
35.6,,,,,,,105.619830821,105.619830821,,,,,,,,,,
35.8,,,,,,,61.9675025203,61.9675025203,,,,,,,,,,
36.0,,,,,,,60.9349468571,60.9349468571,,,,,,,,,,
36.2,,,,,,,78.2488059222,78.2488059222,,,,,,,,,,
36.4,,,,,,,88.0617188584,88.0617188584,,,,,,,,,,
36.6,,,,,,,84.1815208844,84.1815208844,,,,,,,,,,
36.8,,,,,,,79.6456589967,79.6456589967,,,,,,,,,,
37.0,,,,,,,88.5710902554,88.5710902554,,,,,,,,,,
37.2,,,,,,,109.029898831,109.029898831,,,,,,,,,,
